DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:16,-00044.92,-00018.55, 00992.68, -00000.77, 00001.28,-00001.36,-00006.00, 00000.15, 00016.95, 00032.10
1970-1-1 0:0:17,-00047.85,-00029.30, 01000.00,  00000.86,-00003.91, 00001.18,-00004.65,-00000.75, 00016.80, 00032.53
1970-1-1 0:0:17,-00049.80,-00014.65, 01011.72, -00001.34,-00000.78,-00000.32,-00005.25,-00000.60, 00016.95, 00032.63
1970-1-1 0:0:18,-00048.34,-00031.25, 01001.46, -00001.59, 00001.15,-00000.10,-00004.20,-00000.30, 00017.55, 00032.58
1970-1-1 0:0:19,-00051.76,-00015.14, 00987.79, -00003.53, 00000.95,-00001.29,-00004.35, 00000.90, 00018.45, 00032.63
1970-1-1 0:0:20,-00040.53,-00020.51, 00997.56, -00001.67, 00000.56,-00000.63,-00004.20,-00000.30, 00017.55, 00032.77
1970-1-1 0:0:21,-00054.69,-00030.76, 01011.23,  00001.12, 00002.63, 00000.00,-00005.25,-00000.60, 00016.95, 00032.73
1970-1-1 0:0:22,-00055.66, 00012.21, 01026.37, -00001.71,-00000.48, 00010.80,-00004.35,-00000.15, 00017.25, 00032.92
1970-1-1 0:0:23, 00439.94,-00063.48, 00809.08,  00006.56, 00017.79,-00003.49,-00029.10,-00007.20, 00006.00, 00033.11
1970-1-1 0:0:23,-00076.17, 00065.43, 01005.37, -00034.48,-00009.54,-00003.66,-00004.95, 00000.30, 00016.35, 00033.11
1970-1-1 0:0:24, 00004.88,-00879.39, 00491.21,  00027.80,-00008.11,-00000.28,-00007.35,-00033.75,-00021.75, 00033.06
1970-1-1 0:0:25, 00015.62,-00014.65, 01045.90,  00075.79,-00025.30, 00030.47,-00005.55, 00005.70, 00018.00, 00032.97
1970-1-1 0:0:26,-00041.99, 00702.64, 00680.18, -00178.74,-00065.16,-00001.60,-00005.40, 00039.00, 00014.40, 00032.77
1970-1-1 0:0:27,-00141.60, 00270.51, 00938.48, -00012.67, 00003.64, 00014.82,-00001.35, 00007.05, 00020.40, 00033.25
1970-1-1 0:0:27,-00069.82,-00045.90, 01016.11, -00007.66,-00000.05, 00001.80,-00003.45,-00001.95, 00017.10, 00032.92
1970-1-1 0:0:28,-00044.43,-00014.16, 00993.65,  00003.47,-00001.05, 00000.72,-00004.05,-00000.60, 00016.50, 00033.11
1970-1-1 0:0:29,-00044.43,-00033.69, 01007.32, -00004.84,-00001.63, 00006.79,-00005.25,-00001.35, 00016.95, 00033.11
1970-1-1 0:0:30,-00614.26,-00011.72, 00793.46,  00002.82, 00011.07, 00001.50, 00023.40,-00000.90, 00008.85, 00033.06
1970-1-1 0:0:31,-00117.19, 00121.58, 01059.57, -00003.87, 00002.01, 00002.39,-00002.10,-00000.90, 00018.00, 00033.11
1970-1-1 0:0:31,-00075.68,-00020.51, 00994.63,  00000.00, 00000.52,-00002.93,-00001.05,-00001.95, 00017.10, 00032.97
1970-1-1 0:0:32,-00043.46, 00139.65, 01187.50,  00008.81, 00034.52, 00040.82,-00008.70,-00001.35, 00016.50, 00032.77
1970-1-1 0:0:33, 00166.50, 00145.51, 01151.86, -00006.59,-00065.53, 00000.89,-00007.95, 00001.80, 00014.25, 00033.06
1970-1-1 0:0:34,-00090.82,-00006.84, 01000.00, -00001.57,-00002.15, 00003.23, 00001.35,-00000.90, 00015.45, 00033.11
1970-1-1 0:0:35,-00084.47, 00012.70, 01014.65,  00000.04,-00002.36, 00000.37, 00002.40,-00001.35, 00015.75, 00033.25
1970-1-1 0:0:35,-00075.20, 00007.32, 00995.61,  00000.31, 00002.40,-00000.11, 00001.65,-00000.90, 00016.95, 00032.92
1970-1-1 0:0:36,-00083.01, 00009.28, 01010.25, -00001.02,-00001.11, 00002.24, 00003.45,-00000.75, 00016.35, 00033.11
1970-1-1 0:0:37,-00070.31, 00005.37, 01010.25, -00000.32,-00001.13,-00000.30, 00002.70, 00000.00, 00015.60, 00033.25
1970-1-1 0:0:38,-00072.75, 00002.93, 00990.72, -00001.08, 00000.91, 00000.24, 00002.40,-00000.15, 00015.75, 00033.16
1970-1-1 0:0:39,-00072.75,-00006.84, 00997.56, -00000.16,-00001.57, 00003.26, 00001.65,-00001.35, 00016.20, 00033.25
1970-1-1 0:0:40,-00072.27, 00008.79, 01000.49, -00001.00, 00001.77,-00001.63, 00001.80, 00000.00, 00014.85, 00033.16
1970-1-1 0:0:41,-00067.87, 00013.67, 00995.12, -00000.30,-00001.02, 00000.89, 00002.10,-00000.15, 00015.00, 00033.11
1970-1-1 0:0:41,-00066.41,-00012.21, 01007.81, -00000.13,-00000.05, 00003.45, 00003.45,-00000.75, 00016.35, 00033.30
1970-1-1 0:0:42,-00084.47, 00015.62, 01003.42,  00001.85,-00003.66, 00001.00, 00002.40,-00000.60, 00016.20, 00033.35
1970-1-1 0:0:43,-00087.89, 00007.81, 01004.39, -00000.47,-00000.54,-00000.02, 00001.35,-00000.90, 00015.45, 00033.11
1970-1-1 0:0:44,-00080.08, 00006.35, 01002.93, -00002.01,-00003.70, 00003.07, 00002.10, 00000.15, 00015.45, 00033.06
1970-1-1 0:0:45,-00074.22, 00000.00, 00984.86,  00001.05,-00001.49, 00000.79, 00002.85,-00000.60, 00015.75, 00033.11
1970-1-1 0:0:46,-00074.71, 00009.77, 01007.81, -00000.18,-00005.26,-00000.35, 00004.80,-00000.60, 00016.50, 00033.25
1970-1-1 0:0:46,-00039.55, 00014.65, 01087.89, -00002.24,-00000.28, 00000.85, 00002.25, 00000.00, 00016.35, 00033.11
1970-1-1 0:0:47,-00071.78,-00013.18, 01000.98, -00005.31, 00001.90, 00000.25, 00001.50, 00000.00, 00014.85, 00033.06
