DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:7.8008,-00046.39,-00014.65, 01003.91, -00002.26,-00000.64,-00001.31,-00001.35, 00000.60, 00015.00, 00031.72
1970-1-1 0:0:8.8932,-00046.88,-00008.79, 00997.56, -00000.82,-00000.12, 00001.71,-00000.15,-00000.60, 00016.50, 00032.10
1970-1-1 0:0:9.9900,-00052.73, 00000.49, 00994.14, -00002.40, 00001.28, 00001.23,-00000.15,-00000.15, 00015.00, 00032.10
1970-1-1 0:0:10.10838,-00050.78,-00001.46, 00998.54, -00003.61,-00000.52, 00000.31,-00000.45, 00000.15, 00015.75, 00032.10
1970-1-1 0:0:11.11721,-00049.80,-00000.49, 01003.42, -00000.92, 00002.78,-00003.18,-00000.75, 00000.00, 00016.80, 00032.44
1970-1-1 0:0:12.12589,-00055.66, 00003.42, 01003.42, -00000.66, 00001.74,-00000.15, 00000.15,-00000.15, 00016.95, 00032.39
1970-1-1 0:0:13.13440,-00049.80,-00020.02, 01005.86, -00001.61,-00001.87, 00000.07, 00000.15,-00000.15, 00016.20, 00032.44
1970-1-1 0:0:14.14301,-00065.92, 00055.66, 01034.18,  00015.24, 00003.79,-00006.37, 00000.15, 00000.60, 00016.95, 00032.53
1970-1-1 0:0:15.15269, 00371.58,-00068.36, 00821.29, -00003.89, 00068.22,-00018.66,-00023.25,-00006.75, 00009.15, 00032.44
1970-1-1 0:0:16.16088,-00041.99,-00017.09, 01000.49,  00001.50,-00000.36, 00002.15,-00002.40, 00000.60, 00021.15, 00032.58
1970-1-1 0:0:16.16946,-00301.76,-00047.85, 00917.48, -00002.82, 00119.73, 00017.48, 00008.85, 00000.75, 00016.80, 00032.39
1970-1-1 0:0:17.17753,-00224.12, 00288.09, 00508.79, -00143.66,-00010.62,-00005.11,-00000.15, 00003.00, 00018.90, 00032.58
1970-1-1 0:0:18.18575,-00043.95,-00320.31, 00973.14, -00147.27,-00006.92, 00048.28,-00000.30,-00012.90, 00012.15, 00032.58
1970-1-1 0:0:19.19371,-00140.62, 00249.02, 01851.56,  00098.63,-00058.80,-00005.75,-00003.30,-00000.15, 00019.65, 00032.58
1970-1-1 0:0:20.20272,-00138.67, 00518.55, 00762.21,  00010.99, 00019.63, 00016.39, 00001.65, 00027.90, 00019.95, 00032.77
1970-1-1 0:0:21.21076,-00108.40, 00053.22, 01086.91, -00004.24,-00001.46,-00010.21, 00002.10, 00003.00, 00018.45, 00032.44
1970-1-1 0:0:21.21898,-00060.06,-00053.22, 00992.19,  00001.34,-00002.44, 00000.95, 00002.10, 00000.90, 00017.25, 00032.63
1970-1-1 0:0:22.22766, 00049.32, 00051.27, 01067.87, -00002.02, 00012.20, 00000.62,-00006.60, 00000.00, 00016.35, 00032.63
1970-1-1 0:0:23.23593, 00041.99,-00048.83, 01031.74, -00014.71, 00019.86,-00001.05,-00006.30,-00001.80, 00016.95, 00032.77
1970-1-1 0:0:24.24431, 00075.20, 00061.52, 01124.51,  00009.03, 00019.09,-00001.45,-00005.40,-00000.30, 00017.55, 00032.73
1970-1-1 0:0:25.25281, 00006.84,-00067.38, 01134.28, -00001.00,-00049.88, 00001.85,-00005.55,-00000.90, 00016.20, 00032.73
1970-1-1 0:0:26.26123,-00038.57,-00059.08, 00778.32, -00012.10, 00001.17, 00002.88,-00001.80,-00005.55, 00015.15, 00032.73
1970-1-1 0:0:26.26982, 00014.65,-00113.77, 00850.59, -00008.85,-00010.28, 00015.50,-00003.75,-00006.45, 00014.85, 00032.63
1970-1-1 0:0:27.27801,-00078.12,-00025.88, 01042.97, -00019.02,-00007.73, 00008.03, 00001.65,-00000.60, 00019.65, 00032.58
1970-1-1 0:0:28.28653, 00130.37,-00148.44, 00857.91,  00014.74, 00009.60,-00002.81,-00009.45,-00002.10, 00014.25, 00032.73
1970-1-1 0:0:29.29571,-00026.86, 00006.84, 01015.14, -00000.93, 00000.34, 00002.09, 00001.35, 00001.35, 00015.45, 00032.73
1970-1-1 0:0:30.30422,-00038.57,-00000.98, 01009.77, -00000.87, 00002.13,-00001.61, 00001.05, 00002.40, 00017.10, 00032.97
1970-1-1 0:0:31.31279,-00045.41,-00002.93, 00996.58, -00000.18,-00002.48, 00001.81, 00002.70, 00001.50, 00016.35, 00032.92
1970-1-1 0:0:32.32137,-00051.76, 00000.98, 00987.79, -00000.19,-00000.36, 00001.15, 00001.80, 00001.95, 00015.90, 00033.11
1970-1-1 0:0:32.33005,-00036.62,-00001.46, 00993.16, -00003.19,-00000.16,-00000.14, 00000.45, 00003.00, 00017.70, 00033.06
1970-1-1 0:0:33.33872,-00044.43, 00000.98, 01007.32,  00001.08, 00000.47, 00000.53, 00000.45, 00001.35, 00016.95, 00032.39
1970-1-1 0:0:34.34722,-00047.85,-00005.86, 00998.05, -00001.51,-00002.94,-00000.46, 00000.75, 00001.95, 00015.60, 00032.97
1970-1-1 0:0:35.35589,-00046.88,-00001.95, 01006.84, -00000.04, 00000.05, 00000.77, 00001.05, 00003.60, 00015.90, 00033.06
1970-1-1 0:0:36.36438,-00051.76, 00000.00, 01002.44, -00002.01, 00000.85, 00000.31, 00002.10, 00002.10, 00016.50, 00032.82
1970-1-1 0:0:37.37297,-00046.88,-00002.44, 00999.51, -00001.35, 00001.50, 00001.31, 00000.75, 00001.50, 00016.80, 00032.97
1970-1-1 0:0:38.38162,-00050.78,-00007.81, 00996.58,  00001.16,-00002.11, 00001.21, 00000.45, 00002.55, 00016.50, 00033.06
1970-1-1 0:0:39.39023,-00056.15,-00008.79, 00998.05, -00001.01,-00002.73,-00000.37, 00000.75, 00002.40, 00015.60, 00033.06
1970-1-1 0:0:39.39897,-00055.66,-00000.49, 01004.39, -00000.95,-00000.40, 00001.22, 00000.00, 00001.20, 00014.85, 00033.11
1970-1-1 0:0:40.40752,-00053.22,-00030.27, 01003.42,  00000.40, 00002.24, 00000.31, 00000.15, 00001.80, 00016.50, 00033.06
1970-1-1 0:0:41.41595,-00041.02,-00018.55, 00996.58, -00006.05,-00000.04, 00000.63,-00000.75, 00000.30, 00017.55, 00032.82
1970-1-1 0:0:42.42573,-00053.71,-00025.39, 00998.05,  00000.10,-00003.91, 00003.02,-00000.75, 00001.20, 00015.90, 00033.11
1970-1-1 0:0:43.43422,-00058.59,-00039.55, 00977.54,  00000.10, 00000.85,-00002.11,-00000.45, 00001.35, 00016.50, 00032.97
1970-1-1 0:0:44.44281,-00
