DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:2.227, 00003.91,-00012.70, 01004.88, -00001.57,-00000.80, 00000.75,-00014.85, 00002.55, 00020.40, 00029.56
1970-1-1 0:0:3.789,-00001.46,-00018.07, 01000.49,  00001.95,-00000.85, 00003.27,-00013.50, 00003.90, 00019.35, 00029.90
1970-1-1 0:0:5.341, 00008.79,-00026.86, 00986.33, -00001.15,-00004.44, 00001.31,-00014.85, 00003.30, 00020.40, 00029.80
1970-1-1 0:0:6.916,-00002.93,-00021.97, 01014.65, -00003.31, 00000.71, 00000.98,-00013.80, 00003.75, 00020.70, 00030.14
1970-1-1 0:0:8.409, 00018.07,-00028.81, 00995.12, -00000.13,-00000.21,-00000.73,-00013.20, 00002.40, 00021.00, 00029.75
1970-1-1 0:0:9.890,-00009.77, 00006.84, 01040.53, -00002.17,-00000.13, 00002.26,-00012.75, 00002.70, 00021.30, 00030.14
1970-1-1 0:0:11.390, 00007.81,-00009.77, 01001.95, -00001.23,-00000.59, 00001.91,-00013.20, 00003.90, 00020.10, 00030.14
1970-1-1 0:0:12.880,-00005.86,-00003.42, 01014.65, -00001.57, 00001.18, 00002.36,-00012.15, 00003.00, 00020.40, 00030.62
1970-1-1 0:0:14.386,-00001.46,-00022.46, 01014.65, -00000.80,-00000.61, 00000.95,-00014.70, 00003.60, 00020.10, 00030.43
1970-1-1 0:0:15.874, 00003.42,-00010.25, 01017.58, -00004.02, 00000.33, 00000.30,-00014.25, 00003.60, 00020.55, 00030.19
1970-1-1 0:0:17.358, 00008.30,-00015.14, 01016.60, -00002.98,-00000.70, 00001.42,-00013.80, 00004.95, 00021.45, 00030.43
1970-1-1 0:0:18.846, 00005.86,-00008.79, 01010.74, -00001.61,-00001.79, 00002.57,-00014.70, 00004.80, 00021.75, 00029.95
1970-1-1 0:0:20.334, 00014.65,-00004.88, 01009.77, -00003.13, 00000.02,-00002.20,-00012.75, 00002.70, 00021.00, 00030.19
1970-1-1 0:0:21.830, 00000.98,-00018.07, 00997.07, -00000.40,-00001.28,-00001.40,-00013.20, 00003.90, 00021.30, 00030.33
1970-1-1 0:0:23.312, 00006.84,-00006.35, 01008.30,  00002.90,-00001.65, 00000.38,-00013.50, 00002.40, 00020.10, 00030.33
1970-1-1 0:0:24.806, 00008.79,-00009.28, 00994.14,  00002.31,-00002.67, 00000.88,-00014.70, 00003.15, 00021.00, 00030.19
1970-1-1 0:0:26.307, 00004.88,-00024.41, 01001.46,  00000.34, 00000.55, 00002.05,-00013.35, 00003.75, 00021.15, 00030.62
1970-1-1 0:0:27.781, 00005.37,-00012.21, 01008.79,  00000.45,-00001.38, 00002.17,-00013.80, 00003.75, 00020.40, 00030.47
1970-1-1 0:0:29.260, 00007.32,-00013.67, 01000.49, -00000.65, 00003.10,-00000.65,-00012.90, 00003.75, 00021.90, 00030.47
1970-1-1 0:0:30.732,-00002.93,-00025.88, 00997.07,  00000.76,-00003.44, 00000.00,-00013.35, 00003.30, 00020.70, 00030.19
1970-1-1 0:0:32.223, 00010.74,-00017.58, 01009.77, -00002.08, 00001.06, 00001.60,-00013.20, 00004.35, 00020.55, 00030.43
1970-1-1 0:0:33.688, 00006.84,-00013.18, 01013.18, -00002.60, 00002.02, 00000.91,-00013.80, 00003.30, 00020.40, 00030.52
1970-1-1 0:0:35.170, 00012.21,-00015.62, 01010.25, -00003.19, 00001.50,-00001.24,-00014.25, 00003.15, 00021.30, 00030.33
1970-1-1 0:0:36.638, 00002.44,-00005.86, 01009.28, -00000.25,-00001.10, 00002.80,-00014.10, 00004.20, 00020.70, 00030.47
1970-1-1 0:0:38.123, 00000.98, 00007.32, 01001.95, -00003.21, 00000.58,-00000.13,-00012.90, 00003.30, 00020.40, 00030.43
1970-1-1 0:0:39.613, 00000.00,-00021.48, 01018.07, -00001.11,-00000.68,-00000.38,-00012.90, 00004.20, 00020.70, 00030.52
1970-1-1 0:0:41.088, 00004.39,-00019.53, 01009.28, -00000.00,-00001.79, 00000.80,-00013.80, 00003.30, 00021.45, 00030.52
1970-1-1 0:0:42.569, 00001.95,-00008.30, 00998.05, -00000.85, 00002.89, 00000.63,-00013.95, 00003.60, 00021.30, 00030.67
1970-1-1 0:0:44.061, 00012.70,-00020.51, 00995.12, -00000.85,-00003.72,-00000.06,-00013.80, 00004.20, 00019.65, 00030.67
1970-1-1 0:0:45.542,-00002.93,-00016.60, 01005.37,  00003.37, 00000.42, 00001.72,-00014.70, 00003.15, 00019.80, 00030.52
1970-1-1 0:0:47.021, 00001.95,-00016.60, 01007.32,  00000.87, 00003.26, 00001.67,-00013.35, 00003.30, 00020.70, 00030.62
1970-1-1 0:0:48.494,-00003.91,-00010.25, 01004.39,  00000.06,-00001.03,-00000.27,-00013.35, 00005.40, 00021.45, 00030.67
