DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:28.167,-00008.79,-00026.86, 01010.25, -00002.15, 00001.21,-00002.31,-00010.05, 00002.70, 00014.85, 00024.20
1970-1-1 0:0:29.792,-00007.32,-00011.23, 01003.91, -00001.08, 00002.33, 00001.08,-00008.85, 00001.50, 00015.15, 00024.39
1970-1-1 0:0:31.503,-00006.84,-00022.46, 00998.54, -00002.07, 00000.24,-00002.30,-00009.00, 00003.00, 00015.00, 00024.53
1970-1-1 0:0:33.134,-00008.30,-00011.23, 01008.30,  00001.84,-00001.07, 00001.77,-00009.00, 00001.80, 00015.75, 00024.63
1970-1-1 0:0:34.800,-00010.25,-00010.74, 01001.46,  00000.14,-00000.79, 00000.89,-00009.00, 00004.95, 00015.75, 00024.53
1970-1-1 0:0:36.327, 00008.30,-00018.07, 01019.04, -00002.27, 00001.27,-00000.51,-00009.45, 00002.10, 00015.00, 00024.91
1970-1-1 0:0:37.875,-00009.77,-00017.58, 01007.32, -00002.60, 00001.54,-00000.34,-00009.90, 00003.00, 00014.70, 00024.68
1970-1-1 0:0:39.419,-00001.46,-00020.02, 00999.02,  00000.47,-00000.31, 00000.91,-00010.20, 00003.00, 00013.80, 00024.34
1970-1-1 0:0:40.963,-00010.25,-00018.55, 01003.42,  00000.98,-00000.07, 00003.07,-00009.30, 00001.50, 00015.15, 00024.87
1970-1-1 0:0:42.500,-00011.23,-00012.21, 01015.14, -00001.15, 00002.92,-00000.11,-00009.00, 00001.80, 00015.00, 00024.87
1970-1-1 0:0:44.33,-00019.53,-00020.02, 01009.77, -00000.84, 00000.68,-00000.31,-00009.00, 00002.55, 00015.45, 00024.87
1970-1-1 0:0:45.684,-00000.98,-00017.09, 01008.79,  00001.24, 00001.69,-00000.30,-00010.80, 00002.70, 00015.15, 00024.72
1970-1-1 0:0:47.222, 00007.32,-00015.62, 01009.77, -00001.44, 00003.10,-00002.78,-00009.45, 00002.55, 00015.75, 00024.82
1970-1-1 0:0:48.758,-00013.67,-00028.81, 01011.72, -00002.39, 00001.24, 00001.31,-00010.50, 00001.95, 00016.80, 00024.72
1970-1-1 0:0:50.283,-00016.60,-00040.53, 01024.90,  00001.22, 00001.89,-00000.32,-00009.60, 00001.95, 00014.40, 00024.72
1970-1-1 0:0:51.817, 00000.00,-00013.18, 01015.62, -00003.95,-00002.44, 00001.35,-00010.05, 00003.60, 00015.60, 00024.87
1970-1-1 0:0:53.342,-00012.70,-00013.67, 01014.65, -00004.42, 00001.37, 00000.02,-00010.95, 00003.30, 00016.50, 00024.82
1970-1-1 0:0:54.865,-00006.84,-00026.86, 00986.33, -00001.81,-00000.73, 00003.31,-00008.85, 00000.75, 00016.35, 00024.72
1970-1-1 0:0:56.412,-00016.11, 00051.76, 01083.98,  00015.12,-00001.10, 00014.01,-00008.10, 00001.50, 00016.35, 00024.87
1970-1-1 0:0:57.926,-00015.62,-00022.95, 01005.86,  00003.40,-00001.11, 00002.63,-00004.80, 00001.35, 00015.45, 00025.01
1970-1-1 0:0:59.463,-00015.62,-00010.25, 01000.49,  00000.43,-00000.23, 00002.56,-00006.30, 00000.60, 00016.20, 00025.06
1970-1-1 0:1:0.990,-00011.72,-00003.42, 00997.07, -00002.06,-00001.94,-00000.58,-00005.70, 00001.95, 00014.10, 00024.91
1970-1-1 0:1:2.546,-00016.11,-00012.70, 01000.98, -00000.55,-00002.47,-00000.33,-00007.50, 00002.55, 00016.50, 00024.72
1970-1-1 0:1:4.70,-00015.14,-00003.42, 00997.56, -00000.36,-00003.16, 00003.79,-00007.05, 00001.80, 00017.25, 00024.72
1970-1-1 0:1:5.629,-00018.07,-00006.84, 01009.28, -00002.21, 00001.05, 00001.86,-00008.85, 00002.40, 00018.30, 00024.87
1970-1-1 0:1:7.175,-00021.48,-00020.51, 01004.88, -00003.24,-00002.39,-00000.26,-00009.30, 00003.15, 00017.85, 00024.91
1970-1-1 0:1:8.700,-00018.07,-00014.65, 01009.28, -00003.30,-00001.20,-00000.79,-00008.85, 00003.15, 00017.10, 00024.87
1970-1-1 0:1:10.234,-00007.32,-00012.70, 00992.68, -00001.05,-00001.27, 00001.29,-00008.85, 00002.40, 00017.55, 00025.01
1970-1-1 0:1:11.788,-00014.16,-00014.16, 01001.95, -00001.82,-00000.52,-00002.56,-00010.05, 00001.20, 00015.90, 00025.06
1970-1-1 0:1:13.305,-00018.55,-00029.79, 01017.09, -00000.61, 00000.14, 00001.66,-00009.45, 00002.55, 00015.75, 00025.15
1970-1-1 0:1:14.838,-00009.28,-00026.37, 01017.58, -00003.07,-00000.87, 00000.30,-00009.00, 00001.80, 00016.95, 00024.91
1970-1-1 0:1:16.374,-00012.21,-00019.04, 01012.70,  00001.58,-00001.53, 00000.91,-00009.00, 00002.55, 00017.70, 00025.15
1970-1-1 0:1:17.909, 00042.48,-00085.94, 00993.16,  00000.97, 00001.81, 00003.44,-00008.85, 00004.35, 00017.55, 00025.01
1970-1-1 0:1:19.451, 00068.36,-00473.14, 00894.53,  00250.13,-00053.47, 00003.43,-00017.40,-00019.35, 00005.25, 00025.01
1970-1-1 0:1:20.936, 00166.99,-00177.73, 01635.25,  00016.35, 00067.68, 00005.18,-00019.50,-00003.00, 00013.05, 00025.06
1970-1-1 0:1:22.418,-00017.58,-00019.04, 01004.39, -00001.78, 00001.15,-00000.42,-00008.55, 00002.70, 00017.85, 00025.01
1970-1-1 0:1:23.943,-00022.46, 00003.42, 01009.77, -00003.08, 00001.68, 00002.48,-00008.70, 00003.00, 00016.95, 00025.06
1970-1-1 0:1:25.488,-00020.51,-00021.48, 01010.25, -00001.98, 00004.34,-00000.37,-00009.30, 00003.15, 00017.55, 00025.20
1970-1-1 0:1:27.25,-00020.51,-00021.97, 01005.86, -00000.95,-00000.27,-00001.27,-00009.45, 00001.35, 00017.25, 00025.20
