datetime , RTD1 (C), RTD2 (C), RTD3 (C)
1970-1-1 0:0:2,25.63,25.77,26.04
1970-1-1 0:0:4,25.63,25.77,26.04
1970-1-1 0:0:6,25.57,25.73,25.97
1970-1-1 0:0:7,25.70,25.70,25.97
1970-1-1 0:0:9,26.24,25.70,25.94
1970-1-1 0:0:11,26.88,25.67,25.94
1970-1-1 0:0:13,27.56,25.63,25.87
1970-1-1 0:0:14,28.27,25.63,25.84
1970-1-1 0:0:16,28.95,25.60,25.80
1970-1-1 0:0:18,29.63,25.60,25.80
1970-1-1 0:0:19,30.20,25.57,25.77
1970-1-1 0:0:21,30.71,25.57,25.73
1970-1-1 0:0:23,31.19,25.50,25.70
1970-1-1 0:0:24,31.39,25.50,25.73
1970-1-1 0:0:26,31.46,25.63,26.31
1970-1-1 0:0:28,31.49,26.31,27.12
1970-1-1 0:0:29,31.56,27.16,28.00
1970-1-1 0:0:31,31.56,28.00,28.85
1970-1-1 0:0:33,31.59,28.71,29.63
1970-1-1 0:0:34,31.63,29.39,30.24
1970-1-1 0:0:36,31.66,29.97,30.78
1970-1-1 0:0:38,31.66,30.51,31.22
1970-1-1 0:0:40,31.66,30.91,31.59
1970-1-1 0:0:41,31.63,31.15,31.83
1970-1-1 0:0:43,31.52,31.25,31.90
1970-1-1 0:0:45,31.42,31.25,31.97
1970-1-1 0:0:46,31.25,31.19,31.90
1970-1-1 0:0:48,31.08,31.12,31.83
1970-1-1 0:0:50,30.91,31.02,31.69
1970-1-1 0:0:51,30.78,30.88,31.63
1970-1-1 0:0:53,30.61,30.75,31.49
1970-1-1 0:0:55,30.47,30.64,31.36
1970-1-1 0:0:57,30.30,30.51,31.22
1970-1-1 0:0:58,30.14,30.34,31.08
1970-1-1 0:1:0,30.03,30.20,30.95
1970-1-1 0:1:2,29.90,30.07,30.81
1970-1-1 0:1:3,29.80,29.93,30.68
1970-1-1 0:1:5,29.66,29.83,30.58
1970-1-1 0:1:7,29.56,29.70,30.44
1970-1-1 0:1:8,29.42,29.59,30.34
1970-1-1 0:1:10,29.32,29.46,30.24
1970-1-1 0:1:12,29.22,29.36,30.10
1970-1-1 0:1:14,29.12,29.25,30.00
1970-1-1 0:1:15,29.02,29.15,29.86
1970-1-1 0:1:17,28.92,29.02,29.76
