DateTime,RTD1_(C),RTD2_(C),RTD3_(C)
1970-1-1 0:0:4.633,26.21,25.63,26.34
1970-1-1 0:0:5.357,26.21,25.67,26.34
1970-1-1 0:0:6.083,26.24,25.67,26.34
1970-1-1 0:0:6.809,26.24,25.67,26.38
1970-1-1 0:0:7.535,26.24,25.67,26.41
1970-1-1 0:0:8.261,26.24,25.70,26.38
1970-1-1 0:0:8.987,26.24,25.70,26.38
1970-1-1 0:0:9.713,26.28,25.70,26.41
1970-1-1 0:0:10.439,26.28,25.70,26.41
1970-1-1 0:0:11.165,26.28,25.70,26.41
1970-1-1 0:0:11.891,26.24,25.70,26.41
1970-1-1 0:0:12.617,26.31,25.70,26.41
1970-1-1 0:0:13.343,26.28,25.70,26.41
1970-1-1 0:0:14.068,26.28,25.70,26.41
1970-1-1 0:0:14.799,26.28,25.70,26.41
1970-1-1 0:0:15.524,26.28,25.70,26.41
1970-1-1 0:0:16.251,26.28,25.67,26.41
1970-1-1 0:0:16.976,26.28,25.70,26.44
1970-1-1 0:0:17.702,26.24,25.70,26.41
1970-1-1 0:0:18.424,26.28,25.73,26.41
1970-1-1 0:0:19.150,26.28,25.70,26.41
1970-1-1 0:0:19.881,26.24,25.70,26.41
1970-1-1 0:0:20.607,26.28,25.70,26.44
1970-1-1 0:0:21.341,26.28,25.70,26.41
1970-1-1 0:0:22.067,26.28,25.73,26.41
1970-1-1 0:0:22.793,26.31,25.73,26.41
1970-1-1 0:0:40.973,26.31,25.70,26.44
1970-1-1 0:0:41.699,26.31,25.70,26.41
1970-1-1 0:0:42.429,26.31,25.73,26.41
1970-1-1 0:0:43.155,26.31,25.73,26.41
1970-1-1 0:0:43.886,26.28,25.73,26.44
1970-1-1 0:0:44.612,26.28,25.70,26.41
1970-1-1 0:0:45.335,26.28,25.70,26.44
1970-1-1 0:0:46.061,26.31,25.73,26.41
1970-1-1 0:0:46.787,26.28,25.70,26.41
1970-1-1 0:0:47.513,26.28,25.73,26.44
1970-1-1 0:0:48.239,26.28,25.73,26.44
1970-1-1 0:0:48.965,26.28,25.73,26.44
1970-1-1 0:0:49.696,26.31,25.73,26.41
1970-1-1 0:0:50.422,26.31,25.73,26.41
