DateTime,RTD1_(C),RTD2_(C),RTD3_(C)
1970-1-1 0:0:1.656,26.14,25.50,26.28
1970-1-1 0:0:2.152,26.17,25.53,26.28
1970-1-1 0:0:2.649,26.21,25.53,26.31
1970-1-1 0:0:3.142,26.21,25.50,26.28
1970-1-1 0:0:3.634,26.21,25.50,26.31
1970-1-1 0:0:4.134,26.21,25.53,26.31
1970-1-1 0:0:11.533,26.24,25.60,26.34
1970-1-1 0:0:12.026,26.21,25.60,26.34
1970-1-1 0:0:12.522,26.24,25.60,26.34
1970-1-1 0:0:13.09,26.24,25.60,26.34
1970-1-1 0:0:13.506,26.24,25.60,26.38
1970-1-1 0:0:13.999,26.24,25.60,26.34
1970-1-1 0:0:21.407,26.24,25.63,26.38
1970-1-1 0:0:21.900,26.24,25.63,26.34
1970-1-1 0:0:22.397,26.24,25.60,26.34
1970-1-1 0:0:22.886,26.24,25.63,26.34
1970-1-1 0:0:23.376,26.24,25.63,26.38
1970-1-1 0:0:31.285,29.70,25.63,30.07
1970-1-1 0:0:31.775,29.90,25.67,30.27
1970-1-1 0:0:32.268,30.10,25.67,30.47
1970-1-1 0:0:32.765,30.27,25.70,30.68
1970-1-1 0:0:33.257,30.41,25.67,30.88
1970-1-1 0:0:33.754,30.58,25.67,31.05
1970-1-1 0:0:41.143,32.03,26.75,32.64
1970-1-1 0:0:41.638,32.03,27.05,32.61
1970-1-1 0:0:42.131,32.03,27.43,32.61
1970-1-1 0:0:42.628,32.03,27.70,32.61
1970-1-1 0:0:43.116,32.03,27.97,32.61
1970-1-1 0:0:43.610,32.03,28.31,32.58
1970-1-1 0:0:51.020,31.46,31.32,32.13
1970-1-1 0:0:51.508,31.42,31.42,32.10
1970-1-1 0:0:52.04,31.36,31.52,32.07
1970-1-1 0:0:52.501,31.32,31.66,32.03
1970-1-1 0:0:52.993,31.29,31.76,32.00
1970-1-1 0:0:53.489,31.25,31.80,31.93
1970-1-1 0:1:0.900,30.64,32.71,31.32
1970-1-1 0:1:1.392,30.61,32.71,31.25
1970-1-1 0:1:1.888,30.58,32.68,31.25
1970-1-1 0:1:2.385,30.51,32.71,31.19
1970-1-1 0:1:2.878,30.47,32.68,31.15
1970-1-1 0:1:3.369,30.44,32.68,31.12
1970-1-1 0:1:11.243,29.86,31.93,30.51
1970-1-1 0:1:11.737,29.83,31.93,30.51
1970-1-1 0:1:12.234,29.76,31.86,30.47
1970-1-1 0:1:12.727,29.76,31.83,30.44
1970-1-1 0:1:13.222,29.70,31.76,30.41
1970-1-1 0:1:13.715,29.70,31.76,30.37
1970-1-1 0:1:21.125,29.25,31.42,29.86
1970-1-1 0:1:21.616,29.22,31.52,29.83
1970-1-1 0:1:22.113,29.19,31.66,29.76
1970-1-1 0:1:22.606,29.19,31.80,29.76
1970-1-1 0:1:23.102,29.19,31.97,29.70
1970-1-1 0:1:23.595,29.12,32.03,29.70
1970-1-1 0:1:31.09,28.81,33.46,31.39
1970-1-1 0:1:31.503,28.81,33.52,31.59
1970-1-1 0:1:31.996,28.75,33.56,31.73
1970-1-1 0:1:32.493,28.75,33.66,31.86
