DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:2.359,-00012.21,-00027.83, 01002.93, 00000.62,-00000.80,-00001.08,-00009.00, 00004.50, 00016.50, 00031.48
1970-1-1 0:0:2.426,-00002.93,-00041.99, 01000.00,-00002.92, 00001.30,-00001.63,-00009.60, 00003.60, 00015.90, 00031.48
1970-1-1 0:0:2.493,-00011.72,-00027.34, 00994.14,-00002.18,-00000.28,-00000.58,-00008.10, 00003.90, 00016.80, 00031.67
1970-1-1 0:0:2.560,-00024.41,-00023.93, 00992.68,-00000.87,-00004.04,-00000.78,-00009.90, 00003.00, 00014.70, 00031.58
1970-1-1 0:0:2.627,-00007.32,-00027.83, 01003.42,-00000.27,-00001.53, 00001.60,-00008.85, 00003.60, 00014.40, 00031.72
1970-1-1 0:0:2.694,-00002.44,-00035.16, 01005.86,-00001.75, 00000.85, 00000.47,-00009.60, 00004.80, 00016.35, 00031.53
1970-1-1 0:0:2.761,-00013.18,-00020.02, 01009.28,-00001.76,-00002.66, 00002.67,-00008.85, 00002.70, 00015.90, 00031.72
1970-1-1 0:0:2.828,-00021.48,-00031.74, 01000.98,-00000.89, 00001.88, 00001.88,-00010.80, 00003.60, 00017.10, 00031.86
1970-1-1 0:0:2.873,-00008.79,-00037.11, 01007.81,-00000.36, 00001.34, 00003.81,-00010.65, 00005.40, 00016.50, 00031.67
1970-1-1 0:0:2.918,-00014.16,-00011.72, 00993.65,-00001.15, 00001.12,-00000.97,-00009.90, 00005.70, 00015.75, 00031.34
1970-1-1 0:0:2.963,-00018.07,-00025.88, 01011.72,-00002.51, 00001.44, 00001.08,-00010.50, 00003.60, 00015.90, 00031.48
1970-1-1 0:0:3.08,-00017.09,-00035.16, 01008.30,-00000.87,-00003.69, 00000.82,-00009.45, 00004.20, 00016.95, 00031.58
1970-1-1 0:0:3.053,-00014.16,-00017.58, 00992.19,-00002.62, 00002.44,-00002.27,-00011.40, 00003.00, 00015.75, 00031.77
1970-1-1 0:0:3.098,-00024.90,-00033.69, 00993.16,-00000.73,-00000.44,-00000.68,-00010.20, 00002.55, 00017.70, 00031.38
1970-1-1 0:0:3.143,-00021.97,-00030.76, 00994.63, 00001.28,-00002.71, 00002.66,-00010.05, 00002.70, 00016.35, 00031.77
1970-1-1 0:0:3.188,-00006.84,-00015.62, 00999.51,-00000.89,-00001.24, 00001.77,-00010.65, 00004.20, 00016.50, 00031.91
1970-1-1 0:0:3.233,-00005.86,-00022.95, 01005.37,-00002.64, 00003.78,-00003.08,-00010.05, 00003.90, 00015.15, 00031.34
