DateTime,RTD1_(C),RTD2_(C),RTD3_(C)
1970-1-1 0:0:2.828,27.76,27.87,27.87
1970-1-1 0:0:4.309,27.76,27.87,27.87
1970-1-1 0:0:5.791,27.76,27.90,27.87
1970-1-1 0:0:7.272,27.76,27.87,27.83
1970-1-1 0:0:8.754,27.76,27.87,27.83
1970-1-1 0:0:10.235,28.17,28.27,28.31
1970-1-1 0:0:11.717,28.21,28.27,28.31
1970-1-1 0:0:13.198,28.17,28.27,28.31
1970-1-1 0:0:14.680,28.21,28.27,28.31
1970-1-1 0:0:16.161,28.21,28.34,28.31
1970-1-1 0:0:17.643,28.24,28.31,28.31
1970-1-1 0:0:19.124,28.21,28.37,28.34
1970-1-1 0:0:20.606,28.54,28.41,28.61
1970-1-1 0:0:22.087,29.05,28.48,29.12
1970-1-1 0:0:23.569,29.70,28.54,29.70
1970-1-1 0:0:25.050,30.37,28.58,30.27
1970-1-1 0:0:26.532,30.98,28.61,30.85
1970-1-1 0:0:28.013,31.56,28.65,31.39
1970-1-1 0:0:29.495,32.00,28.61,31.90
1970-1-1 0:0:30.976,32.41,28.68,32.37
1970-1-1 0:0:32.458,32.78,28.71,32.78
1970-1-1 0:0:33.939,33.02,29.15,33.08
1970-1-1 0:0:35.421,33.08,29.97,33.22
1970-1-1 0:0:36.902,33.08,30.81,33.29
1970-1-1 0:0:38.384,33.05,31.59,33.32
1970-1-1 0:0:39.865,32.98,32.30,33.32
1970-1-1 0:0:41.347,32.88,32.81,33.25
1970-1-1 0:0:42.828,32.75,33.15,33.15
1970-1-1 0:0:44.310,32.61,33.29,33.05
1970-1-1 0:0:45.791,32.47,33.32,32.98
1970-1-1 0:0:47.273,32.34,33.32,32.88
1970-1-1 0:0:48.754,32.24,33.22,32.78
1970-1-1 0:0:50.236,32.10,33.15,32.68
1970-1-1 0:0:51.717,32.00,33.05,32.54
